ccode,stateabb,year,major
2,USA,1816,0
2,USA,1817,0
2,USA,1818,0
2,USA,1819,0
2,USA,1820,0
2,USA,1821,0
2,USA,1822,0
2,USA,1823,0
2,USA,1824,0
2,USA,1825,0
2,USA,1826,0
2,USA,1827,0
2,USA,1828,0
2,USA,1829,0
2,USA,1830,0
2,USA,1831,0
2,USA,1832,0
2,USA,1833,0
2,USA,1834,0
2,USA,1835,0
2,USA,1836,0
2,USA,1837,0
2,USA,1838,0
2,USA,1839,0
2,USA,1840,0
2,USA,1841,0
2,USA,1842,0
2,USA,1843,0
2,USA,1844,0
2,USA,1845,0
2,USA,1846,0
2,USA,1847,0
2,USA,1848,0
2,USA,1849,0
2,USA,1850,0
2,USA,1851,0
2,USA,1852,0
2,USA,1853,0
2,USA,1854,0
2,USA,1855,0
2,USA,1856,0
2,USA,1857,0
2,USA,1858,0
2,USA,1859,0
2,USA,1860,0
2,USA,1861,0
2,USA,1862,0
2,USA,1863,0
2,USA,1864,0
2,USA,1865,0
2,USA,1866,0
2,USA,1867,0
2,USA,1868,0
2,USA,1869,0
2,USA,1870,0
2,USA,1871,0
2,USA,1872,0
2,USA,1873,0
2,USA,1874,0
2,USA,1875,0
2,USA,1876,0
2,USA,1877,0
2,USA,1878,0
2,USA,1879,0
2,USA,1880,0
2,USA,1881,0
2,USA,1882,0
2,USA,1883,0
2,USA,1884,0
2,USA,1885,0
2,USA,1886,0
2,USA,1887,0
2,USA,1888,0
2,USA,1889,0
2,USA,1890,0
2,USA,1891,0
2,USA,1892,0
2,USA,1893,0
2,USA,1894,0
2,USA,1895,0
2,USA,1896,0
2,USA,1897,0
2,USA,1898,1
2,USA,1899,1
2,USA,1900,1
2,USA,1901,1
2,USA,1902,1
2,USA,1903,1
2,USA,1904,1
2,USA,1905,1
2,USA,1906,1
2,USA,1907,1
2,USA,1908,1
2,USA,1909,1
2,USA,1910,1
2,USA,1911,1
2,USA,1912,1
2,USA,1913,1
2,USA,1914,1
2,USA,1915,1
2,USA,1916,1
2,USA,1917,1
2,USA,1918,1
2,USA,1919,1
2,USA,1920,1
2,USA,1921,1
2,USA,1922,1
2,USA,1923,1
2,USA,1924,1
2,USA,1925,1
2,USA,1926,1
2,USA,1927,1
2,USA,1928,1
2,USA,1929,1
2,USA,1930,1
2,USA,1931,1
2,USA,1932,1
2,USA,1933,1
2,USA,1934,1
2,USA,1935,1
2,USA,1936,1
2,USA,1937,1
2,USA,1938,1
2,USA,1939,1
2,USA,1940,1
2,USA,1941,1
2,USA,1942,1
2,USA,1943,1
2,USA,1944,1
2,USA,1945,1
2,USA,1946,1
2,USA,1947,1
2,USA,1948,1
2,USA,1949,1
2,USA,1950,1
2,USA,1951,1
2,USA,1952,1
2,USA,1953,1
2,USA,1954,1
2,USA,1955,1
2,USA,1956,1
2,USA,1957,1
2,USA,1958,1
2,USA,1959,1
2,USA,1960,1
2,USA,1961,1
2,USA,1962,1
2,USA,1963,1
2,USA,1964,1
2,USA,1965,1
2,USA,1966,1
2,USA,1967,1
2,USA,1968,1
2,USA,1969,1
2,USA,1970,1
2,USA,1971,1
2,USA,1972,1
2,USA,1973,1
2,USA,1974,1
2,USA,1975,1
2,USA,1976,1
2,USA,1977,1
2,USA,1978,1
2,USA,1979,1
2,USA,1980,1
2,USA,1981,1
2,USA,1982,1
2,USA,1983,1
2,USA,1984,1
2,USA,1985,1
2,USA,1986,1
2,USA,1987,1
2,USA,1988,1
2,USA,1989,1
2,USA,1990,1
2,USA,1991,1
2,USA,1992,1
2,USA,1993,1
2,USA,1994,1
2,USA,1995,1
2,USA,1996,1
2,USA,1997,1
2,USA,1998,1
2,USA,1999,1
2,USA,2000,1
2,USA,2001,1
2,USA,2002,1
2,USA,2003,1
2,USA,2004,1
2,USA,2005,1
2,USA,2006,1
2,USA,2007,1
2,USA,2008,1
2,USA,2009,1
2,USA,2010,1
2,USA,2011,1
2,USA,2012,1
2,USA,2013,1
2,USA,2014,1
20,CAN,1920,0
20,CAN,1921,0
20,CAN,1922,0
20,CAN,1923,0
20,CAN,1924,0
20,CAN,1925,0
20,CAN,1926,0
20,CAN,1927,0
20,CAN,1928,0
20,CAN,1929,0
20,CAN,1930,0
20,CAN,1931,0
20,CAN,1932,0
20,CAN,1933,0
20,CAN,1934,0
20,CAN,1935,0
20,CAN,1936,0
20,CAN,1937,0
20,CAN,1938,0
20,CAN,1939,0
20,CAN,1940,0
20,CAN,1941,0
20,CAN,1942,0
20,CAN,1943,0
20,CAN,1944,0
20,CAN,1945,0
20,CAN,1946,0
20,CAN,1947,0
20,CAN,1948,0
20,CAN,1949,0
20,CAN,1950,0
20,CAN,1951,0
20,CAN,1952,0
20,CAN,1953,0
20,CAN,1954,0
20,CAN,1955,0
20,CAN,1956,0
20,CAN,1957,0
20,CAN,1958,0
20,CAN,1959,0
20,CAN,1960,0
20,CAN,1961,0
20,CAN,1962,0
20,CAN,1963,0
20,CAN,1964,0
20,CAN,1965,0
20,CAN,1966,0
20,CAN,1967,0
20,CAN,1968,0
20,CAN,1969,0
20,CAN,1970,0
20,CAN,1971,0
20,CAN,1972,0
20,CAN,1973,0
20,CAN,1974,0
20,CAN,1975,0
20,CAN,1976,0
20,CAN,1977,0
20,CAN,1978,0
20,CAN,1979,0
20,CAN,1980,0
20,CAN,1981,0
20,CAN,1982,0
20,CAN,1983,0
20,CAN,1984,0
20,CAN,1985,0
20,CAN,1986,0
20,CAN,1987,0
20,CAN,1988,0
20,CAN,1989,0
20,CAN,1990,0
20,CAN,1991,0
20,CAN,1992,0
20,CAN,1993,0
20,CAN,1994,0
20,CAN,1995,0
20,CAN,1996,0
20,CAN,1997,0
20,CAN,1998,0
20,CAN,1999,0
20,CAN,2000,0
20,CAN,2001,0
20,CAN,2002,0
20,CAN,2003,0
20,CAN,2004,0
20,CAN,2005,0
20,CAN,2006,0
20,CAN,2007,0
20,CAN,2008,0
20,CAN,2009,0
20,CAN,2010,0
20,CAN,2011,0
20,CAN,2012,0
20,CAN,2013,0
20,CAN,2014,0
31,BHM,1973,0
31,BHM,1974,0
31,BHM,1975,0
31,BHM,1976,0
31,BHM,1977,0
31,BHM,1978,0
31,BHM,1979,0
31,BHM,1980,0
31,BHM,1981,0
31,BHM,1982,0
31,BHM,1983,0
31,BHM,1984,0
31,BHM,1985,0
31,BHM,1986,0
31,BHM,1987,0
31,BHM,1988,0
31,BHM,1989,0
31,BHM,1990,0
31,BHM,1991,0
31,BHM,1992,0
31,BHM,1993,0
31,BHM,1994,0
31,BHM,1995,0
31,BHM,1996,0
31,BHM,1997,0
31,BHM,1998,0
31,BHM,1999,0
31,BHM,2000,0
31,BHM,2001,0
31,BHM,2002,0
31,BHM,2003,0
31,BHM,2004,0
31,BHM,2005,0
31,BHM,2006,0
31,BHM,2007,0
31,BHM,2008,0
31,BHM,2009,0
31,BHM,2010,0
31,BHM,2011,0
31,BHM,2012,0
31,BHM,2013,0
31,BHM,2014,0
40,CUB,1902,0
40,CUB,1903,0
40,CUB,1904,0
40,CUB,1905,0
40,CUB,1906,0
40,CUB,1909,0
40,CUB,1910,0
40,CUB,1911,0
40,CUB,1912,0
40,CUB,1913,0
40,CUB,1914,0
40,CUB,1915,0
40,CUB,1916,0
40,CUB,1917,0
40,CUB,1918,0
40,CUB,1919,0
40,CUB,1920,0
40,CUB,1921,0
40,CUB,1922,0
40,CUB,1923,0
40,CUB,1924,0
40,CUB,1925,0
40,CUB,1926,0
40,CUB,1927,0
40,CUB,1928,0
40,CUB,1929,0
40,CUB,1930,0
40,CUB,1931,0
40,CUB,1932,0
40,CUB,1933,0
40,CUB,1934,0
40,CUB,1935,0
40,CUB,1936,0
40,CUB,1937,0
40,CUB,1938,0
40,CUB,1939,0
40,CUB,1940,0
40,CUB,1941,0
40,CUB,1942,0
40,CUB,1943,0
40,CUB,1944,0
40,CUB,1945,0
40,CUB,1946,0
40,CUB,1947,0
40,CUB,1948,0
40,CUB,1949,0
40,CUB,1950,0
40,CUB,1951,0
40,CUB,1952,0
40,CUB,1953,0
40,CUB,1954,0
40,CUB,1955,0
40,CUB,1956,0
40,CUB,1957,0
40,CUB,1958,0
40,CUB,1959,0
40,CUB,1960,0
40,CUB,1961,0
40,CUB,1962,0
40,CUB,1963,0
40,CUB,1964,0
40,CUB,1965,0
40,CUB,1966,0
40,CUB,1967,0
40,CUB,1968,0
40,CUB,1969,0
40,CUB,1970,0
40,CUB,1971,0
40,CUB,1972,0
40,CUB,1973,0
40,CUB,1974,0
40,CUB,1975,0
40,CUB,1976,0
40,CUB,1977,0
40,CUB,1978,0
40,CUB,1979,0
40,CUB,1980,0
40,CUB,1981,0
40,CUB,1982,0
40,CUB,1983,0
40,CUB,1984,0
40,CUB,1985,0
40,CUB,1986,0
40,CUB,1987,0
40,CUB,1988,0
40,CUB,1989,0
40,CUB,1990,0
40,CUB,1991,0
40,CUB,1992,0
40,CUB,1993,0
40,CUB,1994,0
40,CUB,1995,0
40,CUB,1996,0
40,CUB,1997,0
40,CUB,1998,0
40,CUB,1999,0
40,CUB,2000,0
40,CUB,2001,0
40,CUB,2002,0
40,CUB,2003,0
40,CUB,2004,0
40,CUB,2005,0
40,CUB,2006,0
40,CUB,2007,0
40,CUB,2008,0
40,CUB,2009,0
40,CUB,2010,0
40,CUB,2011,0
40,CUB,2012,0
40,CUB,2013,0
40,CUB,2014,0
41,HAI,1859,0
41,HAI,1860,0
41,HAI,1861,0
41,HAI,1862,0
41,HAI,1863,0
41,HAI,1864,0
41,HAI,1865,0
41,HAI,1866,0
41,HAI,1867,0
41,HAI,1868,0
41,HAI,1869,0
41,HAI,1870,0
41,HAI,1871,0
41,HAI,1872,0
41,HAI,1873,0
41,HAI,1874,0
41,HAI,1875,0
41,HAI,1876,0
41,HAI,1877,0
41,HAI,1878,0
41,HAI,1879,0
41,HAI,1880,0
41,HAI,1881,0
41,HAI,1882,0
41,HAI,1883,0
41,HAI,1884,0
41,HAI,1885,0
41,HAI,1886,0
41,HAI,1887,0
41,HAI,1888,0
41,HAI,1889,0
41,HAI,1890,0
41,HAI,1891,0
41,HAI,1892,0
41,HAI,1893,0
41,HAI,1894,0
41,HAI,1895,0
41,HAI,1896,0
41,HAI,1897,0
41,HAI,1898,0
41,HAI,1899,0
41,HAI,1900,0
41,HAI,1901,0
41,HAI,1902,0
41,HAI,1903,0
41,HAI,1904,0
41,HAI,1905,0
41,HAI,1906,0
41,HAI,1907,0
41,HAI,1908,0
41,HAI,1909,0
41,HAI,1910,0
41,HAI,1911,0
41,HAI,1912,0
41,HAI,1913,0
41,HAI,1914,0
41,HAI,1915,0
41,HAI,1934,0
41,HAI,1935,0
41,HAI,1936,0
41,HAI,1937,0
41,HAI,1938,0
41,HAI,1939,0
41,HAI,1940,0
41,HAI,1941,0
41,HAI,1942,0
41,HAI,1943,0
41,HAI,1944,0
41,HAI,1945,0
41,HAI,1946,0
41,HAI,1947,0
41,HAI,1948,0
41,HAI,1949,0
41,HAI,1950,0
41,HAI,1951,0
41,HAI,1952,0
41,HAI,1953,0
41,HAI,1954,0
41,HAI,1955,0
41,HAI,1956,0
41,HAI,1957,0
41,HAI,1958,0
41,HAI,1959,0
41,HAI,1960,0
41,HAI,1961,0
41,HAI,1962,0
41,HAI,1963,0
41,HAI,1964,0
41,HAI,1965,0
41,HAI,1966,0
41,HAI,1967,0
41,HAI,1968,0
41,HAI,1969,0
41,HAI,1970,0
41,HAI,1971,0
41,HAI,1972,0
41,HAI,1973,0
41,HAI,1974,0
41,HAI,1975,0
41,HAI,1976,0
41,HAI,1977,0
41,HAI,1978,0
41,HAI,1979,0
41,HAI,1980,0
41,HAI,1981,0
41,HAI,1982,0
41,HAI,1983,0
41,HAI,1984,0
41,HAI,1985,0
41,HAI,1986,0
41,HAI,1987,0
41,HAI,1988,0
41,HAI,1989,0
41,HAI,1990,0
41,HAI,1991,0
41,HAI,1992,0
41,HAI,1993,0
41,HAI,1994,0
41,HAI,1995,0
41,HAI,1996,0
41,HAI,1997,0
41,HAI,1998,0
41,HAI,1999,0
41,HAI,2000,0
41,HAI,2001,0
41,HAI,2002,0
41,HAI,2003,0
41,HAI,2004,0
41,HAI,2005,0
41,HAI,2006,0
41,HAI,2007,0
41,HAI,2008,0
41,HAI,2009,0
41,HAI,2010,0
41,HAI,2011,0
41,HAI,2012,0
41,HAI,2013,0
41,HAI,2014,0
42,DOM,1894,0
42,DOM,1895,0
42,DOM,1896,0
42,DOM,1897,0
42,DOM,1898,0
42,DOM,1899,0
42,DOM,1900,0
42,DOM,1901,0
42,DOM,1902,0
42,DOM,1903,0
42,DOM,1904,0
42,DOM,1905,0
42,DOM,1906,0
42,DOM,1907,0
42,DOM,1908,0
42,DOM,1909,0
42,DOM,1910,0
42,DOM,1911,0
42,DOM,1912,0
42,DOM,1913,0
42,DOM,1914,0
42,DOM,1915,0
42,DOM,1916,0
42,DOM,1924,0
42,DOM,1925,0
42,DOM,1926,0
42,DOM,1927,0
42,DOM,1928,0
42,DOM,1929,0
42,DOM,1930,0
42,DOM,1931,0
42,DOM,1932,0
42,DOM,1933,0
42,DOM,1934,0
42,DOM,1935,0
42,DOM,1936,0
42,DOM,1937,0
42,DOM,1938,0
42,DOM,1939,0
42,DOM,1940,0
42,DOM,1941,0
42,DOM,1942,0
42,DOM,1943,0
42,DOM,1944,0
42,DOM,1945,0
42,DOM,1946,0
42,DOM,1947,0
42,DOM,1948,0
42,DOM,1949,0
42,DOM,1950,0
42,DOM,1951,0
42,DOM,1952,0
42,DOM,1953,0
42,DOM,1954,0
42,DOM,1955,0
42,DOM,1956,0
42,DOM,1957,0
42,DOM,1958,0
42,DOM,1959,0
42,DOM,1960,0
42,DOM,1961,0
42,DOM,1962,0
42,DOM,1963,0
42,DOM,1964,0
42,DOM,1965,0
42,DOM,1966,0
42,DOM,1967,0
42,DOM,1968,0
42,DOM,1969,0
42,DOM,1970,0
42,DOM,1971,0
42,DOM,1972,0
42,DOM,1973,0
42,DOM,1974,0
42,DOM,1975,0
42,DOM,1976,0
42,DOM,1977,0
42,DOM,1978,0
42,DOM,1979,0
42,DOM,1980,0
42,DOM,1981,0
42,DOM,1982,0
42,DOM,1983,0
42,DOM,1984,0
42,DOM,1985,0
42,DOM,1986,0
42,DOM,1987,0
42,DOM,1988,0
42,DOM,1989,0
42,DOM,1990,0
42,DOM,1991,0
42,DOM,1992,0
42,DOM,1993,0
42,DOM,1994,0
42,DOM,1995,0
42,DOM,1996,0
42,DOM,1997,0
42,DOM,1998,0
42,DOM,1999,0
42,DOM,2000,0
42,DOM,2001,0
42,DOM,2002,0
42,DOM,2003,0
42,DOM,2004,0
42,DOM,2005,0
42,DOM,2006,0
42,DOM,2007,0
42,DOM,2008,0
42,DOM,2009,0
42,DOM,2010,0
42,DOM,2011,0
42,DOM,2012,0
42,DOM,2013,0
42,DOM,2014,0
51,JAM,1962,0
51,JAM,1963,0
51,JAM,1964,0
51,JAM,1965,0
51,JAM,1966,0
51,JAM,1967,0
51,JAM,1968,0
51,JAM,1969,0
51,JAM,1970,0
51,JAM,1971,0
51,JAM,1972,0
51,JAM,1973,0
51,JAM,1974,0
51,JAM,1975,0
51,JAM,1976,0
51,JAM,1977,0
51,JAM,1978,0
51,JAM,1979,0
51,JAM,1980,0
51,JAM,1981,0
51,JAM,1982,0
51,JAM,1983,0
51,JAM,1984,0
51,JAM,1985,0
51,JAM,1986,0
51,JAM,1987,0
51,JAM,1988,0
51,JAM,1989,0
51,JAM,1990,0
51,JAM,1991,0
51,JAM,1992,0
51,JAM,1993,0
51,JAM,1994,0
51,JAM,1995,0
51,JAM,1996,0
51,JAM,1997,0
51,JAM,1998,0
51,JAM,1999,0
51,JAM,2000,0
51,JAM,2001,0
51,JAM,2002,0
51,JAM,2003,0
51,JAM,2004,0
51,JAM,2005,0
51,JAM,2006,0
51,JAM,2007,0
51,JAM,2008,0
51,JAM,2009,0
51,JAM,2010,0
51,JAM,2011,0
51,JAM,2012,0
51,JAM,2013,0
51,JAM,2014,0
52,TRI,1962,0
52,TRI,1963,0
52,TRI,1964,0
52,TRI,1965,0
52,TRI,1966,0
52,TRI,1967,0
52,TRI,1968,0
52,TRI,1969,0
52,TRI,1970,0
52,TRI,1971,0
52,TRI,1972,0
52,TRI,1973,0
52,TRI,1974,0
52,TRI,1975,0
52,TRI,1976,0
52,TRI,1977,0
52,TRI,1978,0
52,TRI,1979,0
52,TRI,1980,0
52,TRI,1981,0
52,TRI,1982,0
52,TRI,1983,0
52,TRI,1984,0
52,TRI,1985,0
52,TRI,1986,0
52,TRI,1987,0
52,TRI,1988,0
52,TRI,1989,0
52,TRI,1990,0
52,TRI,1991,0
52,TRI,1992,0
52,TRI,1993,0
52,TRI,1994,0
52,TRI,1995,0
52,TRI,1996,0
52,TRI,1997,0
52,TRI,1998,0
52,TRI,1999,0
52,TRI,2000,0
52,TRI,2001,0
52,TRI,2002,0
52,TRI,2003,0
52,TRI,2004,0
52,TRI,2005,0
52,TRI,2006,0
52,TRI,2007,0
52,TRI,2008,0
52,TRI,2009,0
52,TRI,2010,0
52,TRI,2011,0
52,TRI,2012,0
52,TRI,2013,0
52,TRI,2014,0
53,BAR,1966,0
53,BAR,1967,0
53,BAR,1968,0
53,BAR,1969,0
53,BAR,1970,0
53,BAR,1971,0
53,BAR,1972,0
53,BAR,1973,0
53,BAR,1974,0
53,BAR,1975,0
53,BAR,1976,0
53,BAR,1977,0
53,BAR,1978,0
53,BAR,1979,0
53,BAR,1980,0
53,BAR,1981,0
53,BAR,1982,0
53,BAR,1983,0
53,BAR,1984,0
53,BAR,1985,0
53,BAR,1986,0
53,BAR,1987,0
53,BAR,1988,0
53,BAR,1989,0
53,BAR,1990,0
53,BAR,1991,0
53,BAR,1992,0
53,BAR,1993,0
53,BAR,1994,0
53,BAR,1995,0
53,BAR,1996,0
53,BAR,1997,0
53,BAR,1998,0
53,BAR,1999,0
53,BAR,2000,0
53,BAR,2001,0
53,BAR,2002,0
53,BAR,2003,0
53,BAR,2004,0
53,BAR,2005,0
53,BAR,2006,0
53,BAR,2007,0
53,BAR,2008,0
53,BAR,2009,0
53,BAR,2010,0
53,BAR,2011,0
53,BAR,2012,0
53,BAR,2013,0
53,BAR,2014,0
54,DMA,1978,0
54,DMA,1979,0
54,DMA,1980,0
54,DMA,1981,0
54,DMA,1982,0
54,DMA,1983,0
54,DMA,1984,0
54,DMA,1985,0
54,DMA,1986,0
54,DMA,1987,0
54,DMA,1988,0
54,DMA,1989,0
54,DMA,1990,0
54,DMA,1991,0
54,DMA,1992,0
54,DMA,1993,0
54,DMA,1994,0
54,DMA,1995,0
54,DMA,1996,0
54,DMA,1997,0
54,DMA,1998,0
54,DMA,1999,0
54,DMA,2000,0
54,DMA,2001,0
54,DMA,2002,0
54,DMA,2003,0
54,DMA,2004,0
54,DMA,2005,0
54,DMA,2006,0
54,DMA,2007,0
54,DMA,2008,0
54,DMA,2009,0
54,DMA,2010,0
54,DMA,2011,0
54,DMA,2012,0
54,DMA,2013,0
54,DMA,2014,0
55,GRN,1974,0
55,GRN,1975,0
55,GRN,1976,0
55,GRN,1977,0
55,GRN,1978,0
55,GRN,1979,0
55,GRN,1980,0
55,GRN,1981,0
55,GRN,1982,0
55,GRN,1983,0
55,GRN,1984,0
55,GRN,1985,0
55,GRN,1986,0
55,GRN,1987,0
55,GRN,1988,0
55,GRN,1989,0
55,GRN,1990,0
55,GRN,1991,0
55,GRN,1992,0
55,GRN,1993,0
55,GRN,1994,0
55,GRN,1995,0
55,GRN,1996,0
55,GRN,1997,0
55,GRN,1998,0
55,GRN,1999,0
55,GRN,2000,0
55,GRN,2001,0
55,GRN,2002,0
55,GRN,2003,0
55,GRN,2004,0
55,GRN,2005,0
55,GRN,2006,0
55,GRN,2007,0
55,GRN,2008,0
55,GRN,2009,0
55,GRN,2010,0
55,GRN,2011,0
55,GRN,2012,0
55,GRN,2013,0
55,GRN,2014,0
56,SLU,1979,0
56,SLU,1980,0
56,SLU,1981,0
56,SLU,1982,0
56,SLU,1983,0
56,SLU,1984,0
56,SLU,1985,0
56,SLU,1986,0
56,SLU,1987,0
56,SLU,1988,0
56,SLU,1989,0
56,SLU,1990,0
56,SLU,1991,0
56,SLU,1992,0
56,SLU,1993,0
56,SLU,1994,0
56,SLU,1995,0
56,SLU,1996,0
56,SLU,1997,0
56,SLU,1998,0
56,SLU,1999,0
56,SLU,2000,0
56,SLU,2001,0
56,SLU,2002,0
56,SLU,2003,0
56,SLU,2004,0
56,SLU,2005,0
56,SLU,2006,0
56,SLU,2007,0
56,SLU,2008,0
56,SLU,2009,0
56,SLU,2010,0
56,SLU,2011,0
56,SLU,2012,0
56,SLU,2013,0
56,SLU,2014,0
57,SVG,1979,0
57,SVG,1980,0
57,SVG,1981,0
57,SVG,1982,0
57,SVG,1983,0
57,SVG,1984,0
57,SVG,1985,0
57,SVG,1986,0
57,SVG,1987,0
57,SVG,1988,0
57,SVG,1989,0
57,SVG,1990,0
57,SVG,1991,0
57,SVG,1992,0
57,SVG,1993,0
57,SVG,1994,0
57,SVG,1995,0
57,SVG,1996,0
57,SVG,1997,0
57,SVG,1998,0
57,SVG,1999,0
57,SVG,2000,0
57,SVG,2001,0
57,SVG,2002,0
57,SVG,2003,0
57,SVG,2004,0
57,SVG,2005,0
57,SVG,2006,0
57,SVG,2007,0
57,SVG,2008,0
57,SVG,2009,0
57,SVG,2010,0
57,SVG,2011,0
57,SVG,2012,0
57,SVG,2013,0
57,SVG,2014,0
58,AAB,1981,0
58,AAB,1982,0
58,AAB,1983,0
58,AAB,1984,0
58,AAB,1985,0
58,AAB,1986,0
58,AAB,1987,0
58,AAB,1988,0
58,AAB,1989,0
58,AAB,1990,0
58,AAB,1991,0
58,AAB,1992,0
58,AAB,1993,0
58,AAB,1994,0
58,AAB,1995,0
58,AAB,1996,0
58,AAB,1997,0
58,AAB,1998,0
58,AAB,1999,0
58,AAB,2000,0
58,AAB,2001,0
58,AAB,2002,0
58,AAB,2003,0
58,AAB,2004,0
58,AAB,2005,0
58,AAB,2006,0
58,AAB,2007,0
58,AAB,2008,0
58,AAB,2009,0
58,AAB,2010,0
58,AAB,2011,0
58,AAB,2012,0
58,AAB,2013,0
58,AAB,2014,0
60,SKN,1983,0
60,SKN,1984,0
60,SKN,1985,0
60,SKN,1986,0
60,SKN,1987,0
60,SKN,1988,0
60,SKN,1989,0
60,SKN,1990,0
60,SKN,1991,0
60,SKN,1992,0
60,SKN,1993,0
60,SKN,1994,0
60,SKN,1995,0
60,SKN,1996,0
60,SKN,1997,0
60,SKN,1998,0
60,SKN,1999,0
60,SKN,2000,0
60,SKN,2001,0
60,SKN,2002,0
60,SKN,2003,0
60,SKN,2004,0
60,SKN,2005,0
60,SKN,2006,0
60,SKN,2007,0
60,SKN,2008,0
60,SKN,2009,0
60,SKN,2010,0
60,SKN,2011,0
60,SKN,2012,0
60,SKN,2013,0
60,SKN,2014,0
70,MEX,1831,0
70,MEX,1832,0
70,MEX,1833,0
70,MEX,1834,0
70,MEX,1835,0
70,MEX,1836,0
70,MEX,1837,0
70,MEX,1838,0
70,MEX,1839,0
70,MEX,1840,0
70,MEX,1841,0
70,MEX,1842,0
70,MEX,1843,0
70,MEX,1844,0
70,MEX,1845,0
70,MEX,1846,0
70,MEX,1847,0
70,MEX,1848,0
70,MEX,1849,0
70,MEX,1850,0
70,MEX,1851,0
70,MEX,1852,0
70,MEX,1853,0
70,MEX,1854,0
70,MEX,1855,0
70,MEX,1856,0
70,MEX,1857,0
70,MEX,1858,0
70,MEX,1859,0
70,MEX,1860,0
70,MEX,1861,0
70,MEX,1862,0
70,MEX,1863,0
70,MEX,1864,0
70,MEX,1865,0
70,MEX,1866,0
70,MEX,1867,0
70,MEX,1868,0
70,MEX,1869,0
70,MEX,1870,0
70,MEX,1871,0
70,MEX,1872,0
70,MEX,1873,0
70,MEX,1874,0
70,MEX,1875,0
70,MEX,1876,0
70,MEX,1877,0
70,MEX,1878,0
70,MEX,1879,0
70,MEX,1880,0
70,MEX,1881,0
70,MEX,1882,0
70,MEX,1883,0
70,MEX,1884,0
70,MEX,1885,0
70,MEX,1886,0
70,MEX,1887,0
70,MEX,1888,0
70,MEX,1889,0
70,MEX,1890,0
70,MEX,1891,0
70,MEX,1892,0
70,MEX,1893,0
70,MEX,1894,0
70,MEX,1895,0
70,MEX,1896,0
70,MEX,1897,0
70,MEX,1898,0
70,MEX,1899,0
70,MEX,1900,0
70,MEX,1901,0
70,MEX,1902,0
70,MEX,1903,0
70,MEX,1904,0
70,MEX,1905,0
70,MEX,1906,0
70,MEX,1907,0
70,MEX,1908,0
70,MEX,1909,0
70,MEX,1910,0
70,MEX,1911,0
70,MEX,1912,0
70,MEX,1913,0
70,MEX,1914,0
70,MEX,1915,0
70,MEX,1916,0
70,MEX,1917,0
70,MEX,1918,0
70,MEX,1919,0
70,MEX,1920,0
70,MEX,1921,0
70,MEX,1922,0
70,MEX,1923,0
70,MEX,1924,0
70,MEX,1925,0
70,MEX,1926,0
70,MEX,1927,0
70,MEX,1928,0
70,MEX,1929,0
70,MEX,1930,0
70,MEX,1931,0
70,MEX,1932,0
70,MEX,1933,0
70,MEX,1934,0
70,MEX,1935,0
70,MEX,1936,0
70,MEX,1937,0
70,MEX,1938,0
70,MEX,1939,0
70,MEX,1940,0
70,MEX,1941,0
70,MEX,1942,0
70,MEX,1943,0
70,MEX,1944,0
70,MEX,1945,0
70,MEX,1946,0
70,MEX,1947,0
70,MEX,1948,0
70,MEX,1949,0
70,MEX,1950,0
70,MEX,1951,0
70,MEX,1952,0
70,MEX,1953,0
70,MEX,1954,0
70,MEX,1955,0
70,MEX,1956,0
70,MEX,1957,0
70,MEX,1958,0
70,MEX,1959,0
70,MEX,1960,0
70,MEX,1961,0
70,MEX,1962,0
70,MEX,1963,0
70,MEX,1964,0
70,MEX,1965,0
70,MEX,1966,0
70,MEX,1967,0
70,MEX,1968,0
70,MEX,1969,0
70,MEX,1970,0
70,MEX,1971,0
70,MEX,1972,0
70,MEX,1973,0
70,MEX,1974,0
70,MEX,1975,0
70,MEX,1976,0
70,MEX,1977,0
70,MEX,1978,0
70,MEX,1979,0
70,MEX,1980,0
70,MEX,1981,0
70,MEX,1982,0
70,MEX,1983,0
70,MEX,1984,0
70,MEX,1985,0
70,MEX,1986,0
70,MEX,1987,0
70,MEX,1988,0
70,MEX,1989,0
70,MEX,1990,0
70,MEX,1991,0
70,MEX,1992,0
70,MEX,1993,0
70,MEX,1994,0
70,MEX,1995,0
70,MEX,1996,0
70,MEX,1997,0
70,MEX,1998,0
70,MEX,1999,0
70,MEX,2000,0
70,MEX,2001,0
70,MEX,2002,0
70,MEX,2003,0
70,MEX,2004,0
70,MEX,2005,0
70,MEX,2006,0
70,MEX,2007,0
70,MEX,2008,0
70,MEX,2009,0
70,MEX,2010,0
70,MEX,2011,0
70,MEX,2012,0
70,MEX,2013,0
70,MEX,2014,0
80,BLZ,1981,0
80,BLZ,1982,0
80,BLZ,1983,0
80,BLZ,1984,0
80,BLZ,1985,0
80,BLZ,1986,0
80,BLZ,1987,0
80,BLZ,1988,0
80,BLZ,1989,0
80,BLZ,1990,0
80,BLZ,1991,0
80,BLZ,1992,0
80,BLZ,1993,0
80,BLZ,1994,0
80,BLZ,1995,0
80,BLZ,1996,0
80,BLZ,1997,0
80,BLZ,1998,0
80,BLZ,1999,0
80,BLZ,2000,0
80,BLZ,2001,0
80,BLZ,2002,0
80,BLZ,2003,0
80,BLZ,2004,0
80,BLZ,2005,0
80,BLZ,2006,0
80,BLZ,2007,0
80,BLZ,2008,0
80,BLZ,2009,0
80,BLZ,2010,0
80,BLZ,2011,0
80,BLZ,2012,0
